Regional Economy,Statistic,Value,Footnote,Year,Unit of Measurement,Sustainable Development Goal,ADB Country Code
Tajikistan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
", … ,,2020,%,4.c.1,TAJ
Thailand,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
",100,,2020,%,4.c.1,THA
Timor-Leste,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
", … ,,2020,%,4.c.1,TIM
Tonga,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
", … ,,2020,%,4.c.1,TON
Turkmenistan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
", … ,,2020,%,4.c.1,TKM
Tuvalu,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
",67.1,,2018,%,4.c.1,TUV
Uzbekistan,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
",99,,2017,%,4.c.1,UZB
Vanuatu,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
",21.5,,2015,%,4.c.1,VAN
Viet Nam,"Proportion of Teachers with the Minimum Required Qualifications, Lower Secondary
",99.9,,2020,%,4.c.1,VIE
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,AFG
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",82,,2017,%,4.c.1,ARM
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",91.2,,2020,%,4.c.1,AZE
Bangladesh,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,BAN
Bhutan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2020,%,4.c.1,BHU
Brunei Darussalam,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",58.1,,2020,%,4.c.1,BRU
Cambodia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2020,%,4.c.1,CAM
"China, People's Republic of","Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,PRC
Cook Islands,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",95.5,,2020,%,4.c.1,COO
Fiji,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",93.5,,2020,%,4.c.1,FIJ
Georgia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,GEO
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",97.1,,2020,%,4.c.1,HKG
India,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,IND
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,INO
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2014,%,4.c.1,KAZ
Kiribati,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",93.6,,2020,%,4.c.1,KIR
"Korea, Republic of","Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,KOR
Kyrgyz Republic,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",94.1,,2020,%,4.c.1,LAO
Malaysia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",38.8,,2020,%,4.c.1,MAL
Maldives,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",88.7,,2018,%,4.c.1,MLD
Marshall Islands,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,RMI
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",99.3,,2016,%,4.c.1,FSM
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",95.7,,2019,%,4.c.1,MON
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",81.4,,2018,%,4.c.1,MYA
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2016,%,4.c.1,NAU
Nepal,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",82.4,,2020,%,4.c.1,NEP
Niue,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",25,,2020,%,4.c.1,NIU
Pakistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,PAK
Palau,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,PAL
Papua New Guinea,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,PNG
Philippines,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2020,%,4.c.1,PHI
Samoa,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2018,%,4.c.1,SAM
Singapore,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2020,%,4.c.1,SIN
Solomon Islands,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,SOL
Sri Lanka,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",81.5,,2020,%,4.c.1,SRI
"Taipei,China","Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,TAP
Tajikistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",100,,2016,%,4.c.1,TAJ
Thailand,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,THA
Timor-Leste,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,TIM
Tonga,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",52.7,,2020,%,4.c.1,TON
Turkmenistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




", … ,,2020,%,4.c.1,TKM
Tuvalu,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",96.3,,2020,%,4.c.1,TUV
Uzbekistan,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",99.9,,2020,%,4.c.1,UZB
Vanuatu,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",60,,2016,%,4.c.1,VAN
Viet Nam,"Proportion of Teachers with the Minimum Required Qualifications, Preprimary




",99.7,,2020,%,4.c.1,VIE
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,AFG
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",75.1,,2020,%,4.c.1,ARM
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",99.9,,2020,%,4.c.1,AZE
Bangladesh,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",50.4,,2017,%,4.c.1,BAN
Bhutan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2020,%,4.c.1,BHU
Brunei Darussalam,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",85.2,,2020,%,4.c.1,BRU
Cambodia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2020,%,4.c.1,CAM
"China, People's Republic of","Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,PRC
Cook Islands,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",98.3,,2020,%,4.c.1,COO
Fiji,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",87.6,,2020,%,4.c.1,FIJ
Georgia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,GEO
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Primary




",95.7,,2020,%,4.c.1,HKG
India,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",77.7,,2020,%,4.c.1,IND
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,INO
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2020,%,4.c.1,KAZ
Kiribati,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",90.5,,2020,%,4.c.1,KIR
"Korea, Republic of","Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,KOR
Kyrgyz Republic,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",95.4,,2017,%,4.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",98.8,,2020,%,4.c.1,LAO
Malaysia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",96.6,,2020,%,4.c.1,MAL
Maldives,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",88.8,,2019,%,4.c.1,MLD
Marshall Islands,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,RMI
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2016,%,4.c.1,FSM
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",88.9,,2019,%,4.c.1,MON
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",95.3,,2018,%,4.c.1,MYA
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2016,%,4.c.1,NAU
Nepal,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",97.2,,2020,%,4.c.1,NEP
Niue,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",92.3,,2016,%,4.c.1,NIU
Pakistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",77.3,,2019,%,4.c.1,PAK
Palau,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,PAL
Papua New Guinea,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,PNG
Philippines,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2020,%,4.c.1,PHI
Samoa,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",93.9,,2014,%,4.c.1,SAM
Singapore,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",98.2,,2020,%,4.c.1,SIN
Solomon Islands,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",82.4,,2019,%,4.c.1,SOL
Sri Lanka,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",82.6,,2020,%,4.c.1,SRI
"Taipei,China","Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,TAP
Tajikistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2017,%,4.c.1,TAJ
Thailand,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",100,,2020,%,4.c.1,THA
Timor-Leste,"Proportion of Teachers with the Minimum Required Qualifications, Primary




", … ,,2020,%,4.c.1,TIM
Tonga,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",94.1,,2020,%,4.c.1,TON
Turkmenistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",99.9,,2020,%,4.c.1,TKM
Tuvalu,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",78.3,,2019,%,4.c.1,TUV
Uzbekistan,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",99.2,,2020,%,4.c.1,UZB
Vanuatu,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",36,,2019,%,4.c.1,VAN
Viet Nam,"Proportion of Teachers with the Minimum Required Qualifications, Primary




",99.7,,2020,%,4.c.1,VIE
Afghanistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,AFG
Armenia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",77.1,,2020,%,4.c.1,ARM
Azerbaijan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",72,,2020,%,4.c.1,AZE
Bangladesh,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",61.3,,2020,%,4.c.1,BAN
Bhutan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",100,,2018,%,4.c.1,BHU
Brunei Darussalam,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",90.6,,2019,%,4.c.1,BRU
Cambodia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,CAM
"China, People's Republic of","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,PRC
Cook Islands,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,COO
Fiji,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,FIJ
Georgia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,GEO
"Hong Kong, China","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,HKG
India,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",81.7,,2020,%,4.c.1,IND
Indonesia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,INO
Kazakhstan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,KAZ
Kiribati,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",47,,2016,%,4.c.1,KIR
"Korea, Republic of","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,KOR
Kyrgyz Republic,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,KGZ
Lao People's Democratic Republic,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",99.5,,2020,%,4.c.1,LAO
Malaysia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,MAL
Maldives,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",91.3,,2019,%,4.c.1,MLD
Marshall Islands,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",66.9,,2020,%,4.c.1,RMI
"Micronesia, Federated States of","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",31.5,,2018,%,4.c.1,FSM
Mongolia,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,MON
Myanmar,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",87.7,,2018,%,4.c.1,MYA
Nauru,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",100,,2016,%,4.c.1,NAU
Nepal,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",81.1,,2020,%,4.c.1,NEP
Niue,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",100,,2015,%,4.c.1,NIU
Pakistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",84.7,,2017,%,4.c.1,PAK
Palau,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,PAL
Papua New Guinea,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,PNG
Philippines,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",100,,2020,%,4.c.1,PHI
Samoa,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",54.7,,2020,%,4.c.1,SAM
Singapore,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,SIN
Solomon Islands,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",63,,2015,%,4.c.1,SOL
Sri Lanka,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",78.9,,2020,%,4.c.1,SRI
"Taipei,China","Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,TAP
Tajikistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,TAJ
Thailand,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",100,,2020,%,4.c.1,THA
Timor-Leste,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,TIM
Tonga,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,TON
Turkmenistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,TKM
Tuvalu,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",62,,2018,%,4.c.1,TUV
Uzbekistan,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
",93.4,,2017,%,4.c.1,UZB
Vanuatu,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,VAN
Viet Nam,"Proportion of Teachers with the Minimum Required Qualifications, Upper Secondary
", … ,,2020,%,4.c.1,VIE
Afghanistan,Renewable Energy Share in the Total Final Energy Consumption,18.5,,2019,%,7.2.1,AFG
Armenia,Renewable Energy Share in the Total Final Energy Consumption,10.3,,2019,%,7.2.1,ARM
Azerbaijan,Renewable Energy Share in the Total Final Energy Consumption,1.6,,2019,%,7.2.1,AZE
Bangladesh,Renewable Energy Share in the Total Final Energy Consumption,24.8,,2019,%,7.2.1,BAN
Bhutan,Renewable Energy Share in the Total Final Energy Consumption,82.3,,2019,%,7.2.1,BHU
Brunei Darussalam,Renewable Energy Share in the Total Final Energy Consumption,0,,2019,%,7.2.1,BRU
Cambodia,Renewable Energy Share in the Total Final Energy Consumption,53.4,,2019,%,7.2.1,CAM
"China, People's Republic of",Renewable Energy Share in the Total Final Energy Consumption,14.5,,2019,%,7.2.1,PRC
Cook Islands,Renewable Energy Share in the Total Final Energy Consumption,3.7,,2019,%,7.2.1,COO
Fiji,Renewable Energy Share in the Total Final Energy Consumption,26.5,,2019,%,7.2.1,FIJ
Georgia,Renewable Energy Share in the Total Final Energy Consumption,25.2,,2019,%,7.2.1,GEO
"Hong Kong, China",Renewable Energy Share in the Total Final Energy Consumption,0.2,,2019,%,7.2.1,HKG
India,Renewable Energy Share in the Total Final Energy Consumption,32.9,,2019,%,7.2.1,IND
Indonesia,Renewable Energy Share in the Total Final Energy Consumption,19.1,,2019,%,7.2.1,INO
Kazakhstan,Renewable Energy Share in the Total Final Energy Consumption,1.7,,2019,%,7.2.1,KAZ
Kiribati,Renewable Energy Share in the Total Final Energy Consumption,41,,2019,%,7.2.1,KIR
"Korea, Republic of",Renewable Energy Share in the Total Final Energy Consumption,3.4,,2019,%,7.2.1,KOR
Kyrgyz Republic,Renewable Energy Share in the Total Final Energy Consumption,27.9,,2019,%,7.2.1,KGZ
Lao People's Democratic Republic,Renewable Energy Share in the Total Final Energy Consumption,48.4,,2019,%,7.2.1,LAO
Malaysia,Renewable Energy Share in the Total Final Energy Consumption,5.1,,2019,%,7.2.1,MAL
Maldives,Renewable Energy Share in the Total Final Energy Consumption,1.1,,2019,%,7.2.1,MLD
Marshall Islands,Renewable Energy Share in the Total Final Energy Consumption,11.7,,2019,%,7.2.1,RMI
"Micronesia, Federated States of",Renewable Energy Share in the Total Final Energy Consumption,1.8,,2019,%,7.2.1,FSM
Mongolia,Renewable Energy Share in the Total Final Energy Consumption,3.3,,2019,%,7.2.1,MON
Myanmar,Renewable Energy Share in the Total Final Energy Consumption,57.9,,2019,%,7.2.1,MYA
Nauru,Renewable Energy Share in the Total Final Energy Consumption,0.6,,2019,%,7.2.1,NAU
Nepal,Renewable Energy Share in the Total Final Energy Consumption,77.4,,2019,%,7.2.1,NEP
Niue,Renewable Energy Share in the Total Final Energy Consumption,22.4,,2019,%,7.2.1,NIU
Pakistan,Renewable Energy Share in the Total Final Energy Consumption,43.4,,2019,%,7.2.1,PAK
Palau,Renewable Energy Share in the Total Final Energy Consumption,0.3,,2019,%,7.2.1,PAL
Papua New Guinea,Renewable Energy Share in the Total Final Energy Consumption,53.1,,2019,%,7.2.1,PNG
Philippines,Renewable Energy Share in the Total Final Energy Consumption,26.7,,2019,%,7.2.1,PHI
Samoa,Renewable Energy Share in the Total Final Energy Consumption,34.2,,2019,%,7.2.1,SAM
Singapore,Renewable Energy Share in the Total Final Energy Consumption,0.8,,2019,%,7.2.1,SIN
Solomon Islands,Renewable Energy Share in the Total Final Energy Consumption,48.4,,2019,%,7.2.1,SOL
Sri Lanka,Renewable Energy Share in the Total Final Energy Consumption,49.9,,2019,%,7.2.1,SRI
"Taipei,China",Renewable Energy Share in the Total Final Energy Consumption,3,,2019,%,7.2.1,TAP
Tajikistan,Renewable Energy Share in the Total Final Energy Consumption,38.6,,2019,%,7.2.1,TAJ
Thailand,Renewable Energy Share in the Total Final Energy Consumption,24,,2019,%,7.2.1,THA
Timor-Leste,Renewable Energy Share in the Total Final Energy Consumption,11.7,,2019,%,7.2.1,TIM
Tonga,Renewable Energy Share in the Total Final Energy Consumption,1.8,,2019,%,7.2.1,TON
Turkmenistan,Renewable Energy Share in the Total Final Energy Consumption,0.1,,2019,%,7.2.1,TKM
Tuvalu,Renewable Energy Share in the Total Final Energy Consumption,8.2,,2019,%,7.2.1,TUV
Uzbekistan,Renewable Energy Share in the Total Final Energy Consumption,1.6,,2019,%,7.2.1,UZB
Vanuatu,Renewable Energy Share in the Total Final Energy Consumption,31.9,,2019,%,7.2.1,VAN
Viet Nam,Renewable Energy Share in the Total Final Energy Consumption,18.7,,2019,%,7.2.1,VIE
Afghanistan,Surface Area,652.86,,2018,'000  km2,,AFG
Armenia,Surface Area,29.74,,2018,'000  km2,,ARM
Azerbaijan,Surface Area,86.6,,2018,'000  km2,,AZE
Bangladesh,Surface Area,147.57,,2018,'000  km2,,BAN
Bhutan,Surface Area,38.39,,2018,'000  km2,,BHU
Brunei Darussalam,Surface Area,5.77,,2018,'000  km2,,BRU
Cambodia,Surface Area,181.04,,2018,'000  km2,,CAM
"China, People's Republic of",Surface Area,"9,600.01",,2018,'000  km2,,PRC
Cook Islands,Surface Area,0.24,,2018,'000  km2,,COO
Fiji,Surface Area,18.27,,2018,'000  km2,,FIJ
Georgia,Surface Area,69.7,,2018,'000  km2,,GEO
"Hong Kong, China",Surface Area,1.11,,2018,'000  km2,,HKG
India,Surface Area,"3,287.26",,2018,'000  km2,,IND
Indonesia,Surface Area,"1,916.86",,2018,'000  km2,,INO
Kazakhstan,Surface Area,"2,724.90",,2018,'000  km2,,KAZ
Kiribati,Surface Area,0.81,,2018,'000  km2,,KIR
"Korea, Republic of",Surface Area,100.37,,2018,'000  km2,,KOR
Kyrgyz Republic,Surface Area,199.95,,2018,'000  km2,,KGZ
Lao People's Democratic Republic,Surface Area,236.8,,2018,'000  km2,,LAO
Malaysia,Surface Area,330.35,,2018,'000  km2,,MAL
Maldives,Surface Area,0.3,,2018,'000  km2,,MLD
Marshall Islands,Surface Area,0.18,,2018,'000  km2,,RMI
"Micronesia, Federated States of",Surface Area,0.7,,2018,'000  km2,,FSM
Mongolia,Surface Area,"1,564.12",,2018,'000  km2,,MON
Myanmar,Surface Area,676.59,,2018,'000  km2,,MYA
Nauru,Surface Area,0.02,,2018,'000  km2,,NAU
Nepal,Surface Area,147.18,,2018,'000  km2,,NEP
Niue,Surface Area,0.26,,2018,'000  km2,,NIU
Pakistan,Surface Area,796.1,,2018,'000  km2,,PAK
Palau,Surface Area,0.46,,2018,'000  km2,,PAL
Papua New Guinea,Surface Area,462.84,,2018,'000  km2,,PNG
Philippines,Surface Area,300,,2018,'000  km2,,PHI
Samoa,Surface Area,2.84,,2018,'000  km2,,SAM
Singapore,Surface Area,0.72,,2018,'000  km2,,SIN
Solomon Islands,Surface Area,28.9,,2018,'000  km2,,SOL
Sri Lanka,Surface Area,65.61,,2018,'000  km2,,SRI
"Taipei,China",Surface Area,36.2,,2018,'000  km2,,TAP
Tajikistan,Surface Area,141.38,,2018,'000  km2,,TAJ
Thailand,Surface Area,513.12,,2018,'000  km2,,THA
Timor-Leste,Surface Area,14.87,,2018,'000  km2,,TIM
Tonga,Surface Area,0.75,,2018,'000  km2,,TON
Turkmenistan,Surface Area,488.1,,2018,'000  km2,,TKM
Tuvalu,Surface Area,0.03,,2018,'000  km2,,TUV
Uzbekistan,Surface Area,448.92,,2018,'000  km2,,UZB
Vanuatu,Surface Area,12.19,,2018,'000  km2,,VAN
Viet Nam,Surface Area,331.23,,2018,'000  km2,,VIE
Afghanistan,Total Fertility Rate,4.2,,2020,births per woman,,AFG
Armenia,Total Fertility Rate,1.8,,2022,births per woman,,ARM
Azerbaijan,Total Fertility Rate,2,,2022,births per woman,,AZE
Bangladesh,Total Fertility Rate,1.9,,2022,births per woman,,BAN
Bhutan,Total Fertility Rate,1.9,,2022,births per woman,,BHU
Brunei Darussalam,Total Fertility Rate,1.8,,2022,births per woman,,BRU
Cambodia,Total Fertility Rate,2.4,,2022,births per woman,,CAM
"China, People's Republic of",Total Fertility Rate,1.7,,2022,births per woman,,PRC
Cook Islands,Total Fertility Rate,2.7,,2021,births per woman,,COO
Fiji,Total Fertility Rate,2.7,,2022,births per woman,,FIJ
Georgia,Total Fertility Rate,2,,2022,births per woman,,GEO
"Hong Kong, China",Total Fertility Rate,1.4,,2022,births per woman,,HKG
India,Total Fertility Rate,2.1,,2022,births per woman,,IND
Indonesia,Total Fertility Rate,2.2,,2022,births per woman,,INO
Kazakhstan,Total Fertility Rate,2.6,,2022,births per woman,,KAZ
Kiribati,Total Fertility Rate,3.4,,2022,births per woman,,KIR
"Korea, Republic of",Total Fertility Rate,1.1,,2022,births per woman,,KOR
Kyrgyz Republic,Total Fertility Rate,2.8,,2022,births per woman,,KGZ
Lao People's Democratic Republic,Total Fertility Rate,2.5,,2022,births per woman,,LAO
Malaysia,Total Fertility Rate,1.9,,2022,births per woman,,MAL
Maldives,Total Fertility Rate,1.8,,2022,births per woman,,MLD
Marshall Islands,Total Fertility Rate,2.7,,2021,births per woman,,RMI
"Micronesia, Federated States of",Total Fertility Rate,2.9,,2022,births per woman,,FSM
Mongolia,Total Fertility Rate,2.8,,2022,births per woman,,MON
Myanmar,Total Fertility Rate,2.1,,2022,births per woman,,MYA
Nauru,Total Fertility Rate,3.9,,2021,births per woman,,NAU
Nepal,Total Fertility Rate,1.8,,2022,births per woman,,NEP
Niue,Total Fertility Rate,3,,2021,births per woman,,NIU
Pakistan,Total Fertility Rate,3.3,,2022,births per woman,,PAK
Palau,Total Fertility Rate,2.2,,2021,births per woman,,PAL
Papua New Guinea,Total Fertility Rate,3.4,,2022,births per woman,,PNG
Philippines,Total Fertility Rate,2.4,,2022,births per woman,,PHI
Samoa,Total Fertility Rate,3.7,,2022,births per woman,,SAM
Singapore,Total Fertility Rate,1.2,,2022,births per woman,,SIN
Solomon Islands,Total Fertility Rate,4.2,,2022,births per woman,,SOL
Sri Lanka,Total Fertility Rate,2.1,,2022,births per woman,,SRI
"Taipei,China",Total Fertility Rate,1,,2020,births per woman,,TAP
Tajikistan,Total Fertility Rate,3.4,,2022,births per woman,,TAJ
Thailand,Total Fertility Rate,1.5,,2022,births per woman,,THA
Timor-Leste,Total Fertility Rate,3.7,,2022,births per woman,,TIM
Tonga,Total Fertility Rate,3.4,,2022,births per woman,,TON
Turkmenistan,Total Fertility Rate,2.6,,2022,births per woman,,TKM
Tuvalu,Total Fertility Rate,3.4,,2021,births per woman,,TUV
Uzbekistan,Total Fertility Rate,2.3,,2022,births per woman,,UZB
Vanuatu,Total Fertility Rate,3.6,,2022,births per woman,,VAN
Viet Nam,Total Fertility Rate,2,,2022,births per woman,,VIE
Afghanistan,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",341,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,AFG
Armenia,"Total Official Flows for Infrastructure, Official Development Assistance (ODA)",34.7,,2020,"Disbursements, at constant 2019 prices, $ million",9.a.1,ARM
